wallet,provider,verified
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,Twitter,TRUE
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,TwitterTweetGT10,TRUE
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,TwitterFollowerGT100,TRUE
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,TwitterFollowerGT500,TRUE
0xa1bbd8d39ed536dea030a32f3f6c5916c845a800,TwitterFollowerGTE1000,TRUE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,Google,FALSE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,Twitter,FALSE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,POAP,FALSE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,Ens,FALSE
0xb3d1e41f84acd0e77f83473aa62fc8560c2a3c0c,Github,TRUE
0xbc1ac3c2d1ffd9df2fba017225f4f6cb61bd005a,Ens,FALSE
0x7dd68ccc7eadbe17120f9be5dbc7d69b28614145,Ens,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,Twitter,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,TwitterTweetGT10,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,TwitterFollowerGT100,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,FirstEthTxnProvider,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,EthGTEOneTxnProvider,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,Discord,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,NFT,TRUE
0x908c89e8e25e9e11bb1a3fa20ab6f2521cef2ba2,Google,TRUE
0xd536378fa29d651440519bed4961bf9e89b28e65,Google,TRUE
0xd536378fa29d651440519bed4961bf9e89b28e65,Github,TRUE
0xd536378fa29d651440519bed4961bf9e89b28e65,FiveOrMoreGithubRepos,TRUE
